grant_name,AGRI,ARTS,BIOC,CENG,CHEM,COMP,DENT,EART,ENER,ENGI,ENVI,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE,cluster
Abbott Fund,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
American Cancer Society,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1
National Institute on Aging,0,0,8,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,5
"National Heart, Lung, and Blood Institute",0,0,7,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,2,0,0,1,1,-1
National Human Genome Research Institute,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,-1
NIH Office of the Director,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1
National Eye Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,5
National Cancer Institute,0,0,8,1,0,0,0,0,0,2,0,6,1,0,35,0,0,0,1,2,0,0,0,-1
National Institute of Nursing Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,7
National Institute of General Medical Sciences,0,0,8,1,4,0,0,0,0,1,0,5,0,0,4,3,1,0,0,1,0,0,1,-1
National Institute of Allergy and Infectious Diseases,2,0,12,1,4,1,0,0,0,0,0,23,0,0,57,1,0,0,5,0,1,0,0,-1
Fogarty International Center,0,0,2,0,0,0,0,0,0,0,0,5,0,0,9,0,1,0,0,0,0,0,1,-1
National Institute of Diabetes and Digestive and Kidney Diseases,0,0,4,0,0,0,0,0,0,0,0,4,0,0,20,2,1,0,0,0,0,0,0,-1
National Institute of Neurological Disorders and Stroke,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,0,1,0,0,0,0,5
National Institute of Environmental Health Sciences,1,0,4,0,0,1,0,0,0,1,0,0,0,0,5,3,3,0,0,0,0,0,0,-1
National Institute of Arthritis and Musculoskeletal and Skin Diseases,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2
National Institute of Biomedical Imaging and Bioengineering,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,-1
National Institute of Child Health and Human Development,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,5
National Institute of Dental and Craniofacial Research,0,0,10,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,-1
Directorate for Biological Sciences,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
Division of Social and Economic Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
"Directorate for Social, Behavioral and Economic Sciences",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Congressionally Directed Medical Research Programs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
Center for Information Technology,0,0,4,0,0,0,1,0,0,0,0,3,0,0,5,0,0,0,1,0,0,0,0,-1
National Center for Research Resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
Health Resources and Services Administration,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
National Aeronautics and Space Administration,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,4,0,0,0,4
Office of Behavioral and Social Sciences Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7
Office of Research on Women's Health,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,15
Agency for Healthcare Research and Quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
Army Research Office,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Defense Advanced Research Projects Agency,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19
U.S. Department of Agriculture,2,0,2,0,3,0,0,0,2,0,3,6,0,0,5,0,0,0,1,0,0,2,0,-1
United States Agency for International Development,2,0,5,0,0,0,0,0,0,0,4,4,0,0,17,1,0,0,0,0,0,1,1,-1
U.S. Geological Survey,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,7
U.S. Department of Veterans Affairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,2
Defense Threat Reduction Agency,0,0,3,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,-1
Doris Duke Charitable Foundation,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,-1
Michael J. Fox Foundation for Parkinson's Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,5
Bill and Melinda Gates Foundation,0,0,6,0,0,0,0,0,0,0,0,7,0,0,10,1,0,1,0,0,0,0,2,-1
International AIDS Vaccine Initiative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Mayo Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Andrew W. Mellon Foundation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Brain and Behavior Research Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,0,0,0,0,5
Alfred P. Sloan Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,6
Simons Foundation,0,0,0,0,0,5,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,19
James S. McDonnell Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
John Templeton Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Welch Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,6
Gordon and Betty Moore Foundation,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,14
Alzheimer's Association,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
Arthritis National Research Foundation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
American Heart Association,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
Boehringer Ingelheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,10
Breast Cancer Research Foundation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Patrick and Catherine Weldon Donaghue Medical Research Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Camille and Henry Dreyfus Foundation,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"amfAR, The Foundation for AIDS Research",0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0,0,0,1,1,0,-1
Hispanics in Philanthropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,6
Kavli Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6
Lupus Research Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Marathon,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Jeffrey Modell Foundation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
Abbott Laboratories,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3
Social Science Research Council,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,7
V Foundation for Cancer Research,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
Wisconsin Alumni Research Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4
Amazon Conservation Association,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
China Medical Board,0,0,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,1,1,1,0,1,0,-1
"Conservation, Food and Health Foundation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3
Dystonia Medical Research Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5
Gateway for Cancer Research,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Be The Match Foundation,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
National Gallery of Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Pharmaceutical Research and Manufacturers of America Foundation,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,-1
Research to Prevent Blindness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,5
Cooley's Anemia Foundation,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fanconi Anemia Research Fund,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
Heart Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
Johnson Foundation,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Ford Motor Company,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,-1
Amgen,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2
General Motors Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10
Bristol-Myers Squibb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2
United Technologies,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Vera Bradley Foundation for Breast Cancer,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CURE Childhood Cancer Association,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
Entomological Foundation,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Foundation for Clinical Research in Inflammatory Bowel Disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Knowledge Foundation,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
National Sleep Foundation,0,0,1,1,0,0,0,2,0,1,0,1,2,0,1,12,0,0,0,1,0,0,0,-1
Orangutan Conservancy,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
PADI Foundation,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Pilot International Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4
Travis Roy Foundation,2,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,-1
Utah Humanities Council,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
Wilson Foundation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
Hermansky-Pudlak Syndrome Network,0,0,0,0,0,8,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,19
Human Growth Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6
Henry M. Jackson Foundation,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,1,0,0,0,0,-1
Maryland Ornithological Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,6
Multiple Sclerosis Center of Atlanta,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Spine Education and Research Institute,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,-1
Eli Lilly and Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,0,1
International Business Machines Corporation,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Pfizer,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,1,0,0,0,5
Philips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
AstraZeneca,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2
Bayer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2
Genentech,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
Genzyme,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
GlaxoSmithKline,0,0,2,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,1,-1
Johnson and Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
La Jolla Pharmaceutical Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Merck,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,2,1,0,0,0,-1
Novartis,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,5
Roche,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2
Sanofi,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0,-1
Dow Chemical Company,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
Wyeth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
3M,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
BASF,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
Procter and Gamble,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,-1
Chevron,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Colgate-Palmolive Company,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9
Medtronic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,5
European Molecular Biology Organization,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Heart and Stroke Foundation of Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
International Foundation for Science,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
"Global Fund to Fight AIDS, Tuberculosis and Malaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
World Bank Group,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7
World Health Organization,0,0,2,0,0,0,0,2,0,0,6,2,0,0,18,0,0,0,0,0,0,1,1,-1
Asian Development Bank,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7
Center for Global Partnership,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OPEC Fund for International Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
Wellcome,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,0,0,-1
Western Digital,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Baxter International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,10
Hitachi America,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,16
Northwest Airlines,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,-1
Parametric Technology Corporation,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Amway Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
California Breast Cancer Research Program,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
California Department of Fish and Game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
Department of Water Resources,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Department of Public Utility Control,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,19
Empire State Development Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
Pennsylvania Department of Environmental Protection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Texas Animal Health Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Department of Natural Resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Minnesota Department of Human Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Discovery Communications,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Ecolab,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9
Alexander von Humboldt-Stiftung,1,1,1,0,0,0,0,2,0,0,2,0,0,4,1,1,0,0,0,35,0,2,0,-1
Janssen Research and Development,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Centers for Medicare and Medicaid Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
"United Nations Educational, Scientific and Cultural Organization",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
American Center for Mongolian Studies,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16
American Institute for Maghrib Studies,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
National Institute of Justice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Brigham and Women's Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Boston College,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Academy of Natural Sciences of Drexel University,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Yale University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
"American Society of Composers, Authors and Publishers",0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
American Surgical Association Foundation,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
American-Italian Cancer Foundation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Association for Research in Vision and Ophthalmology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Center for Scientific Review,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,-1
Chinese American Librarians Association,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
"California Sea Grant, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Asia-Pacific Network for Global Change Research,1,0,0,0,0,0,0,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,-1
"Center for Africana Studies, Johns Hopkins University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"Center for AIDS Prevention Studies, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Center for Comparative Immigration Studies, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Gilead Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,2
"Center for Law, Society, and Culture, Indiana University Bloomington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"Center for Theoretical Biological Physics, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
University of California,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,-1
"Center for Tobacco Control Research and Education, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Coastal Fund, University of California, Santa Barbara",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Biogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
Beth Israel Deaconess Medical Center,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Health Research,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
Thrasher Research Fund,0,0,3,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,3,-1
Council of Independent Colleges,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
"Department of Black Studies, University of California, Santa Barbara",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Graduate School, University of Texas, Austin",5,0,0,1,1,7,0,0,1,5,2,0,0,1,2,2,0,2,2,0,0,0,1,-1
Endocrine Society,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Office of Experimental Program to Stimulate Competitive Research,0,0,1,1,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,-1
Virginia Space Grant Consortium,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
"Texas Sea Grant, Texas A and M University",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14
Eye Bank Association of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Facebook,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
National Institute of Food and Agriculture,4,0,3,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,1,0,0,1,0,-1
Carnegie Institution of Washington,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hemostasis and Thrombosis Research Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"Institute of American Cultures, University of California, Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Institute on Global Conflict and Cooperation, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
International Association for Dental Research,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1
ASCRS Research Foundation,1,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,-1
"Kavli Institute for Theoretical Physics, University of California, Santa Barbara",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Leakey Foundation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Leukemia Research Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"Western Integrated Pest Management Center, University of California, Davis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13
